bloque_tiempo,hora_post_evento,zona_origen,zona_destino,tipo_destino,nuevos_desplazados_media,ic95_inferior,ic95_superior
3,18,Z3,Z2,otra_zona,589.1666666666666,541.6666666666666,633.3541666666666
3,18,Z3,Z3,refugio_oficial,5487.5,5366.645833333334,5611.708333333333
3,18,Z3,Z4,otra_zona,641.6666666666666,598.3333333333334,686.6874999999999
3,18,Z3,Z5,otra_zona,619.1666666666666,579.9791666666666,656.6666666666666
3,18,Z4,Z1,otra_zona,2066.6666666666665,1970.8125,2164.1666666666665
3,18,Z4,Z2,otra_zona,2133.3333333333335,2056.6666666666665,2210.8333333333335
3,18,Z4,Z3,otra_zona,2220.0,2146.6666666666665,2298.3333333333335
3,18,Z4,Z4,refugio_oficial,4567.5,4448.333333333333,4685.958333333332
3,18,Z4,Z5,otra_zona,2078.3333333333335,2005.8333333333333,2150.0
3,18,Z5,Z1,otra_zona,352.5,322.5,384.1666666666667
3,18,Z5,Z2,otra_zona,337.5,313.3333333333333,361.6666666666667
3,18,Z5,Z3,otra_zona,381.6666666666667,341.6666666666667,419.1666666666667
3,18,Z5,Z4,otra_zona,345.8333333333333,316.6666666666667,376.6666666666667
3,18,Z5,Z5,refugio_oficial,4915.833333333333,4819.166666666667,5015.833333333333
4,24,Z1,Z1,refugio_oficial,2334.1666666666665,2264.9791666666665,2413.3333333333335
4,24,Z1,Z2,otra_zona,420.8333333333333,378.3333333333333,460.8333333333333
4,24,Z1,Z3,otra_zona,458.3333333333333,420.0,495.8541666666665
4,24,Z1,Z4,otra_zona,397.5,360.8333333333333,434.1666666666667
4,24,Z1,Z5,otra_zona,415.0,366.6666666666667,462.5
4,24,Z2,Z1,otra_zona,465.8333333333333,432.4791666666667,498.3333333333333
4,24,Z2,Z2,refugio_oficial,1289.1666666666667,1237.4791666666667,1344.1666666666667
4,24,Z2,Z3,otra_zona,465.8333333333333,428.3333333333333,505.8333333333333
4,24,Z2,Z4,otra_zona,447.5,407.5,487.5
4,24,Z2,Z5,otra_zona,464.1666666666667,435.0,497.5
